il;ilce;hayvan;buyukbas_kucukbas_kanatli_diger;hayvan_sayisi_adet;atik_miktari_ton;enerji_esdegeri_tep_yil
Adana;Aladað;AT;Büyükbaþ Hayvan;60;328,5;46235
Adana;Ceyhan;AT;Büyükbaþ Hayvan;87;476,3;46175
Adana;Çukurova;AT;Büyükbaþ Hayvan;15;82,1;0,4
Adana;Feke;AT;Büyükbaþ Hayvan;95;520,1;46236
Adana;Ýmamoðlu;AT;Büyükbaþ Hayvan;34;186,2;1
Adana;Karaisalý;AT;Büyükbaþ Hayvan;160;876;46207
Adana;Karataþ;AT;Büyükbaþ Hayvan;5;46139;0,1
Adana;Kozan;AT;Büyükbaþ Hayvan;115;629,6;46115
Adana;Pozantý;AT;Büyükbaþ Hayvan;38;208,1;46023
Adana;Saimbeyli;AT;Büyükbaþ Hayvan;480;2628;46036
Adana;Sarýçam;AT;Büyükbaþ Hayvan;43;235,4;46082
Adana;Seyhan;AT;Büyükbaþ Hayvan;15;82,1;0,4
Adana;Tufanbeyli;AT;Büyükbaþ Hayvan;21;115;0,6
Adana;Yüreðir;AT;Büyükbaþ Hayvan;15;82,1;0,4
Adana;Aladað;EÞEK;Büyükbaþ Hayvan;45;123,2;0,4
Adana;Ceyhan;EÞEK;Büyükbaþ Hayvan;21;57,5;0,2
Adana;Çukurova;EÞEK;Büyükbaþ Hayvan;11;46052;0,1
Adana;Feke;EÞEK;Büyükbaþ Hayvan;153;418,8;46082
Adana;Ýmamoðlu;EÞEK;Büyükbaþ Hayvan;35;95,8;0,3
Adana;Karaisalý;EÞEK;Büyükbaþ Hayvan;65;177,9;0,6
Adana;Karataþ;EÞEK;Büyükbaþ Hayvan;2;46147;0
Adana;Kozan;EÞEK;Büyükbaþ Hayvan;200;547,5;46235
Adana;Pozantý;EÞEK;Büyükbaþ Hayvan;32;87,6;0,3
Adana;Saimbeyli;EÞEK;Büyükbaþ Hayvan;182;498,2;46174
Adana;Sarýçam;EÞEK;Büyükbaþ Hayvan;131;358,6;46054
Adana;Seyhan;EÞEK;Büyükbaþ Hayvan;57;156;0,5
Adana;Tufanbeyli;EÞEK;Büyükbaþ Hayvan;190;520,1;46204
Adana;Yüreðir;EÞEK;Büyükbaþ Hayvan;3;46061;0
Adana;Aladað;KATIR;Büyükbaþ Hayvan;9;39,4;0,2
Adana;Feke;KATIR;Büyükbaþ Hayvan;108;473;2
Adana;Ýmamoðlu;KATIR;Büyükbaþ Hayvan;2;46242;0
Adana;Karaisalý;KATIR;Büyükbaþ Hayvan;30;131,4;0,6
Adana;Kozan;KATIR;Büyükbaþ Hayvan;85;372,3;46174
Adana;Pozantý;KATIR;Büyükbaþ Hayvan;11;48,2;0,2
Adana;Saimbeyli;KATIR;Büyükbaþ Hayvan;87;381,1;46174
Adana;Yüreðir;KATIR;Büyükbaþ Hayvan;1;46116;0
Adana;Ceyhan;MANDA;Büyükbaþ Hayvan;160;1168;46242
Adana;Feke;MANDA;Büyükbaþ Hayvan;6;43,8;0,3
Adana;Karaisalý;MANDA;Büyükbaþ Hayvan;2;46187;0,1
Adana;Karataþ;MANDA;Büyükbaþ Hayvan;41;299,3;46055
Adana;Kozan;MANDA;Büyükbaþ Hayvan;46;335,8;46144
Adana;Sarýçam;MANDA;Büyükbaþ Hayvan;3;46286;0,2
Adana;Seyhan;MANDA;Büyükbaþ Hayvan;102;744,6;46178
Adana;Tufanbeyli;MANDA;Büyükbaþ Hayvan;5;36,5;0,3
Adana;Yüreðir;MANDA;Büyükbaþ Hayvan;25;182,5;46113
Adana;Aladað;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;1513;13806,1;110,9
Adana;Ceyhan;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;17770;162151,3;1302,1
Adana;Çukurova;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;3450;31481,3;252,8
Adana;Feke;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;2026;18487,3;148,5
Adana;Ýmamoðlu;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;3190;29108,8;233,8
Adana;Karaisalý;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;5160;47085;378,1
Adana;Karataþ;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;11170;101926,3;818,5
Adana;Kozan;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;10000;91250;732,8
Adana;Pozantý;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;608;5548;44,6
Adana;Saimbeyli;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;1176;10731;86,2
Adana;Sarýçam;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;36170;330051,3;2650,4
Adana;Seyhan;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;21630;197373,8;1585
Adana;Tufanbeyli;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;2981;27201,6;218,4
Adana;Yumurtalýk;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;3495;31891,9;256,1
Adana;Yüreðir;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;12305;112283,1;901,7
Adana;Aladað;SIÐIR (MELEZ);Büyükbaþ Hayvan;2567;16865,2;108,3
Adana;Ceyhan;SIÐIR (MELEZ);Büyükbaþ Hayvan;8170;53676,9;344,8
Adana;Çukurova;SIÐIR (MELEZ);Büyükbaþ Hayvan;817;5367,7;34,5
Adana;Feke;SIÐIR (MELEZ);Büyükbaþ Hayvan;3306;21720,4;139,5
Adana;Ýmamoðlu;SIÐIR (MELEZ);Büyükbaþ Hayvan;4352;28592,6;183,7
Adana;Karaisalý;SIÐIR (MELEZ);Büyükbaþ Hayvan;10320;67802,4;435,6
Adana;Karataþ;SIÐIR (MELEZ);Büyükbaþ Hayvan;3851;25301,1;162,5
Adana;Kozan;SIÐIR (MELEZ);Büyükbaþ Hayvan;15500;101835;654,2
Adana;Pozantý;SIÐIR (MELEZ);Büyükbaþ Hayvan;629;4132,5;46168
Adana;Saimbeyli;SIÐIR (MELEZ);Büyükbaþ Hayvan;4301;28257,6;181,5
Adana;Sarýçam;SIÐIR (MELEZ);Büyükbaþ Hayvan;11952;78524,6;504,5
Adana;Seyhan;SIÐIR (MELEZ);Büyükbaþ Hayvan;11482;75436,7;484,6
Adana;Tufanbeyli;SIÐIR (MELEZ);Büyükbaþ Hayvan;11090;72861,3;468,1
Adana;Yumurtalýk;SIÐIR (MELEZ);Büyükbaþ Hayvan;4710;30944,7;198,8
Adana;Yüreðir;SIÐIR (MELEZ);Büyükbaþ Hayvan;18790;123450,3;793,1
Adana;Aladað;SIÐIR (YERLÝ);Büyükbaþ Hayvan;1084;5934,9;46265
Adana;Ceyhan;SIÐIR (YERLÝ);Büyükbaþ Hayvan;360;1971;46183
Adana;Feke;SIÐIR (YERLÝ);Büyükbaþ Hayvan;13745;75253,9;402,9
Adana;Karaisalý;SIÐIR (YERLÝ);Büyükbaþ Hayvan;1720;9417;50,4
Adana;Karataþ;SIÐIR (YERLÝ);Büyükbaþ Hayvan;78;427,1;46083
Adana;Kozan;SIÐIR (YERLÝ);Büyükbaþ Hayvan;1900;10402,5;55,7
Adana;Pozantý;SIÐIR (YERLÝ);Büyükbaþ Hayvan;272;1489,2;8
Adana;Saimbeyli;SIÐIR (YERLÝ);Büyükbaþ Hayvan;1042;5705;46172
Adana;Sarýçam;SIÐIR (YERLÝ);Büyükbaþ Hayvan;106;580,4;46025
Adana;Seyhan;SIÐIR (YERLÝ);Büyükbaþ Hayvan;87;476,3;46175
Adana;Tufanbeyli;SIÐIR (YERLÝ);Büyükbaþ Hayvan;35;191,6;1
Adana;Yumurtalýk;SIÐIR (YERLÝ);Büyükbaþ Hayvan;110;602,3;46056
Adana;Yüreðir;SIÐIR (YERLÝ);Büyükbaþ Hayvan;20;109,5;0,6
Adana;Aladað;KEÇÝ (KIL);Küçükbaþ Hayvan;66784;48752,3;78,3
Adana;Ceyhan;KEÇÝ (KIL);Küçükbaþ Hayvan;17960;13110,8;46043
Adana;Çukurova;KEÇÝ (KIL);Küçükbaþ Hayvan;9311;6797;46275
Adana;Feke;KEÇÝ (KIL);Küçükbaþ Hayvan;45622;33304,1;53,5
Adana;Ýmamoðlu;KEÇÝ (KIL);Küçükbaþ Hayvan;8100;5913;46151
Adana;Karaisalý;KEÇÝ (KIL);Küçükbaþ Hayvan;77858;56836,3;91,3
Adana;Karataþ;KEÇÝ (KIL);Küçükbaþ Hayvan;2859;2087,1;46115
Adana;Kozan;KEÇÝ (KIL);Küçükbaþ Hayvan;90000;65700;105,5
Adana;Pozantý;KEÇÝ (KIL);Küçükbaþ Hayvan;16080;11738,4;46283
Adana;Saimbeyli;KEÇÝ (KIL);Küçükbaþ Hayvan;46950;34273,5;55
Adana;Sarýçam;KEÇÝ (KIL);Küçükbaþ Hayvan;25648;18723;46052
Adana;Seyhan;KEÇÝ (KIL);Küçükbaþ Hayvan;1362;994,3;46174
Adana;Tufanbeyli;KEÇÝ (KIL);Küçükbaþ Hayvan;6085;4442,1;46029
Adana;Yumurtalýk;KEÇÝ (KIL);Küçükbaþ Hayvan;3000;2190;46145
Adana;Yüreðir;KEÇÝ (KIL);Küçükbaþ Hayvan;9850;7190,5;46153
Adana;Aladað;KEÇÝ (TÝFTÝK);Küçükbaþ Hayvan;8;46239;0
Adana;Ceyhan;KEÇÝ (TÝFTÝK);Küçükbaþ Hayvan;30;46286;0
Adana;Sarýçam;KEÇÝ (TÝFTÝK);Küçükbaþ Hayvan;35;46198;0
Adana;Tufanbeyli;KEÇÝ (TÝFTÝK);Küçükbaþ Hayvan;149;108,8;0,2
Adana;Aladað;KOYUN (MERÝNOS);Küçükbaþ Hayvan;363;397,5;1
Adana;Ceyhan;KOYUN (MERÝNOS);Küçükbaþ Hayvan;786;860,7;46024
Adana;Feke;KOYUN (MERÝNOS);Küçükbaþ Hayvan;209;228,9;0,6
Adana;Ýmamoðlu;KOYUN (MERÝNOS);Küçükbaþ Hayvan;630;689,9;46204
Adana;Karaisalý;KOYUN (MERÝNOS);Küçükbaþ Hayvan;450;492,8;46054
Adana;Karataþ;KOYUN (MERÝNOS);Küçükbaþ Hayvan;443;485,1;46054
Adana;Kozan;KOYUN (MERÝNOS);Küçükbaþ Hayvan;720;788,4;46266
Adana;Pozantý;KOYUN (MERÝNOS);Küçükbaþ Hayvan;1120;1226,4;3
Adana;Saimbeyli;KOYUN (MERÝNOS);Küçükbaþ Hayvan;1000;1095;46175
Adana;Sarýçam;KOYUN (MERÝNOS);Küçükbaþ Hayvan;1344;1471,7;46145
Adana;Tufanbeyli;KOYUN (MERÝNOS);Küçükbaþ Hayvan;248;271,6;0,7
Adana;Yumurtalýk;KOYUN (MERÝNOS);Küçükbaþ Hayvan;150;164,3;0,4
Adana;Yüreðir;KOYUN (MERÝNOS);Küçükbaþ Hayvan;230;251,9;0,6
Adana;Aladað;KOYUN (YERLÝ);Küçükbaþ Hayvan;37106;40631,1;97,9
Adana;Ceyhan;KOYUN (YERLÝ);Küçükbaþ Hayvan;43000;47085;113,4
Adana;Çukurova;KOYUN (YERLÝ);Küçükbaþ Hayvan;15492;16963,7;40,9
Adana;Feke;KOYUN (YERLÝ);Küçükbaþ Hayvan;13325;14590,9;35,2
Adana;Ýmamoðlu;KOYUN (YERLÝ);Küçükbaþ Hayvan;16230;17771,9;42,8
Adana;Karaisalý;KOYUN (YERLÝ);Küçükbaþ Hayvan;44342;48554,5;117
Adana;Karataþ;KOYUN (YERLÝ);Küçükbaþ Hayvan;27697;30328,2;73,1
Adana;Kozan;KOYUN (YERLÝ);Küçükbaþ Hayvan;45000;49275;118,7
Adana;Pozantý;KOYUN (YERLÝ);Küçükbaþ Hayvan;7900;8650,5;46254
Adana;Saimbeyli;KOYUN (YERLÝ);Küçükbaþ Hayvan;19400;21243;51,2
Adana;Sarýçam;KOYUN (YERLÝ);Küçükbaþ Hayvan;45797;50147,7;120,8
Adana;Seyhan;KOYUN (YERLÝ);Küçükbaþ Hayvan;3373;3693,4;46273
Adana;Tufanbeyli;KOYUN (YERLÝ);Küçükbaþ Hayvan;12448;13630,6;32,8
Adana;Yumurtalýk;KOYUN (YERLÝ);Küçükbaþ Hayvan;26850;29400,8;70,8
Adana;Yüreðir;KOYUN (YERLÝ);Küçükbaþ Hayvan;14556;15938,8;38,4
Adana;Aladað;ET TAVUÐU;Kanatlý Hayvan;295000;7965;1991,6
Adana;Ceyhan;ET TAVUÐU;Kanatlý Hayvan;1250000;33750;8439
Adana;Çukurova;ET TAVUÐU;Kanatlý Hayvan;320000;8640;2160,4
Adana;Feke;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adana;Ýmamoðlu;ET TAVUÐU;Kanatlý Hayvan;141214;3812,8;953,4
Adana;Karaisalý;ET TAVUÐU;Kanatlý Hayvan;498650;13463,6;3366,5
Adana;Karataþ;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adana;Kozan;ET TAVUÐU;Kanatlý Hayvan;45000;1215;303,8
Adana;Pozantý;ET TAVUÐU;Kanatlý Hayvan;65000;1755;438,8
Adana;Saimbeyli;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adana;Sarýçam;ET TAVUÐU;Kanatlý Hayvan;761000;20547;5137,7
Adana;Seyhan;ET TAVUÐU;Kanatlý Hayvan;1564690;42246,6;10563,6
Adana;Tufanbeyli;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adana;Yumurtalýk;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adana;Yüreðir;ET TAVUÐU;Kanatlý Hayvan;1375000;37125;9282,9
Adana;Aladað;HÝNDÝ;Kanatlý Hayvan;40;46143;0,4
Adana;Ceyhan;HÝNDÝ;Kanatlý Hayvan;452;17;46057
Adana;Çukurova;HÝNDÝ;Kanatlý Hayvan;30;46023;0,3
Adana;Feke;HÝNDÝ;Kanatlý Hayvan;30;46023;0,3
Adana;Ýmamoðlu;HÝNDÝ;Kanatlý Hayvan;99;46206;0,9
Adana;Karaisalý;HÝNDÝ;Kanatlý Hayvan;225;46120;46024
Adana;Karataþ;HÝNDÝ;Kanatlý Hayvan;539;46073;46027
Adana;Kozan;HÝNDÝ;Kanatlý Hayvan;75;46236;0,7
Adana;Pozantý;HÝNDÝ;Kanatlý Hayvan;0;0;0
Adana;Saimbeyli;HÝNDÝ;Kanatlý Hayvan;65;46114;0,6
Adana;Sarýçam;HÝNDÝ;Kanatlý Hayvan;793;46232;46119
Adana;Seyhan;HÝNDÝ;Kanatlý Hayvan;81;3;0,8
Adana;Tufanbeyli;HÝNDÝ;Kanatlý Hayvan;70;46175;0,7
Adana;Yumurtalýk;HÝNDÝ;Kanatlý Hayvan;0;0;0
Adana;Yüreðir;HÝNDÝ;Kanatlý Hayvan;93;46145;0,9
Adana;Aladað;KAZ;Kanatlý Hayvan;15;0,7;0,2
Adana;Ceyhan;KAZ;Kanatlý Hayvan;460;46163;46117
Adana;Çukurova;KAZ;Kanatlý Hayvan;136;46118;46174
Adana;Feke;KAZ;Kanatlý Hayvan;35;46174;0,4
Adana;Ýmamoðlu;KAZ;Kanatlý Hayvan;4000;187,2;46,8
Adana;Karaisalý;KAZ;Kanatlý Hayvan;2500;117;46110
Adana;Karataþ;KAZ;Kanatlý Hayvan;268;46154;46025
Adana;Kozan;KAZ;Kanatlý Hayvan;240;46064;46236
Adana;Pozantý;KAZ;Kanatlý Hayvan;68;46056;0,8
Adana;Saimbeyli;KAZ;Kanatlý Hayvan;40;46266;0,5
Adana;Sarýçam;KAZ;Kanatlý Hayvan;820;38,4;46182
Adana;Seyhan;KAZ;Kanatlý Hayvan;110;46027;46082
Adana;Tufanbeyli;KAZ;Kanatlý Hayvan;65;3;0,8
Adana;Yumurtalýk;KAZ;Kanatlý Hayvan;100;46207;46054
Adana;Yüreðir;KAZ;Kanatlý Hayvan;64;3;0,7
Adana;Aladað;ÖRDEK;Kanatlý Hayvan;20;0,9;0,2
Adana;Ceyhan;ÖRDEK;Kanatlý Hayvan;350;46128;46026
Adana;Çukurova;ÖRDEK;Kanatlý Hayvan;65;3;0,8
Adana;Feke;ÖRDEK;Kanatlý Hayvan;50;46083;0,6
Adana;Ýmamoðlu;ÖRDEK;Kanatlý Hayvan;67;46025;0,8
Adana;Karaisalý;ÖRDEK;Kanatlý Hayvan;20;0,9;0,2
Adana;Karataþ;ÖRDEK;Kanatlý Hayvan;368;46070;46085
Adana;Kozan;ÖRDEK;Kanatlý Hayvan;175;46061;2
Adana;Saimbeyli;ÖRDEK;Kanatlý Hayvan;60;46236;0,7
Adana;Sarýçam;ÖRDEK;Kanatlý Hayvan;612;46201;46060
Adana;Seyhan;ÖRDEK;Kanatlý Hayvan;128;6;46143
Adana;Tufanbeyli;ÖRDEK;Kanatlý Hayvan;67;46025;0,8
Adana;Yumurtalýk;ÖRDEK;Kanatlý Hayvan;200;46121;46083
Adana;Yüreðir;ÖRDEK;Kanatlý Hayvan;38;46235;0,4
Adana;Aladað;YUMURTA TAVUÐU;Kanatlý Hayvan;3000;164,3;41,1
Adana;Ceyhan;YUMURTA TAVUÐU;Kanatlý Hayvan;312000;17082;4271,3
Adana;Çukurova;YUMURTA TAVUÐU;Kanatlý Hayvan;2500;136,9;34,2
Adana;Feke;YUMURTA TAVUÐU;Kanatlý Hayvan;17830;976,2;244,1
Adana;Ýmamoðlu;YUMURTA TAVUÐU;Kanatlý Hayvan;78632;4305,1;1076,5
Adana;Karaisalý;YUMURTA TAVUÐU;Kanatlý Hayvan;7227;395,7;98,9
Adana;Karataþ;YUMURTA TAVUÐU;Kanatlý Hayvan;5325;291,5;72,9
Adana;Kozan;YUMURTA TAVUÐU;Kanatlý Hayvan;40000;2190;547,6
Adana;Pozantý;YUMURTA TAVUÐU;Kanatlý Hayvan;1690;92,5;46045
Adana;Saimbeyli;YUMURTA TAVUÐU;Kanatlý Hayvan;17200;941,7;235,5
Adana;Sarýçam;YUMURTA TAVUÐU;Kanatlý Hayvan;230000;12592,5;3148,7
Adana;Seyhan;YUMURTA TAVUÐU;Kanatlý Hayvan;172140;9424,7;2356,6
Adana;Tufanbeyli;YUMURTA TAVUÐU;Kanatlý Hayvan;14500;793,9;198,5
Adana;Yumurtalýk;YUMURTA TAVUÐU;Kanatlý Hayvan;15000;821,3;205,3
Adana;Yüreðir;YUMURTA TAVUÐU;Kanatlý Hayvan;3650;199,8;50
Adýyaman;Besni;AT;Büyükbaþ Hayvan;316;1730,1;46090
Adýyaman;Çelikhan;AT;Büyükbaþ Hayvan;50;273,8;46143
Adýyaman;Gerger;AT;Büyükbaþ Hayvan;572;3131,7;46250
Adýyaman;Gölbaþý;AT;Büyükbaþ Hayvan;348;1905,3;46063
Adýyaman;Kahta;AT;Büyükbaþ Hayvan;187;1023,8;46147
Adýyaman;Merkez;AT;Büyükbaþ Hayvan;367;2009,3;46244
Adýyaman;Samsat;AT;Büyükbaþ Hayvan;3;46128;0,1
Adýyaman;Sincik;AT;Büyükbaþ Hayvan;220;1204,5;46118
Adýyaman;Tut;AT;Büyükbaþ Hayvan;350;1916,3;46091
Adýyaman;Besni;EÞEK;Büyükbaþ Hayvan;144;394,2;46082
Adýyaman;Çelikhan;EÞEK;Büyükbaþ Hayvan;46;125,9;0,4
Adýyaman;Gerger;EÞEK;Büyükbaþ Hayvan;430;1177,1;46237
Adýyaman;Gölbaþý;EÞEK;Büyükbaþ Hayvan;311;851,4;46205
Adýyaman;Kahta;EÞEK;Büyükbaþ Hayvan;375;1026,6;46084
Adýyaman;Merkez;EÞEK;Büyükbaþ Hayvan;147;402,4;46082
Adýyaman;Samsat;EÞEK;Büyükbaþ Hayvan;5;46216;0
Adýyaman;Sincik;EÞEK;Büyükbaþ Hayvan;120;328,5;46023
Adýyaman;Tut;EÞEK;Büyükbaþ Hayvan;110;301,1;1
Adýyaman;Besni;KATIR;Büyükbaþ Hayvan;37;162,1;0,7
Adýyaman;Çelikhan;KATIR;Büyükbaþ Hayvan;78;341,6;46143
Adýyaman;Gerger;KATIR;Büyükbaþ Hayvan;200;876;46237
Adýyaman;Gölbaþý;KATIR;Büyükbaþ Hayvan;39;170,8;0,7
Adýyaman;Kahta;KATIR;Büyükbaþ Hayvan;62;271,6;46054
Adýyaman;Merkez;KATIR;Büyükbaþ Hayvan;82;359,2;46143
Adýyaman;Sincik;KATIR;Büyükbaþ Hayvan;270;1182,6;46027
Adýyaman;Tut;KATIR;Büyükbaþ Hayvan;60;262,8;46023
Adýyaman;Besni;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;1486;13559,8;108,9
Adýyaman;Çelikhan;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;1775;16196,9;130,1
Adýyaman;Gerger;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;4438;40496,8;325,2
Adýyaman;Gölbaþý;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;8962;81778,3;656,7
Adýyaman;Kahta;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;12933;118013,6;947,7
Adýyaman;Merkez;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;24823;226509,9;1818,9
Adýyaman;Samsat;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;768;7008;56,3
Adýyaman;Sincik;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;2939;26818,4;215,4
Adýyaman;Tut;SIÐIR (KÜLTÜR);Büyükbaþ Hayvan;1420;12957,5;104,1
Adýyaman;Besni;SIÐIR (MELEZ);Büyükbaþ Hayvan;9177;60292,9;387,3
Adýyaman;Çelikhan;SIÐIR (MELEZ);Büyükbaþ Hayvan;2185;14355,5;92,2
Adýyaman;Gerger;SIÐIR (MELEZ);Büyükbaþ Hayvan;5670;37251,9;239,3
Adýyaman;Gölbaþý;SIÐIR (MELEZ);Büyükbaþ Hayvan;5569;36588,3;235,1
Adýyaman;Kahta;SIÐIR (MELEZ);Büyükbaþ Hayvan;11171;73393,5;471,5
Adýyaman;Merkez;SIÐIR (MELEZ);Büyükbaþ Hayvan;12798;84082,9;540,2
Adýyaman;Samsat;SIÐIR (MELEZ);Büyükbaþ Hayvan;567;3725,2;46288
Adýyaman;Sincik;SIÐIR (MELEZ);Büyükbaþ Hayvan;6336;41627,5;267,4
Adýyaman;Tut;SIÐIR (MELEZ);Büyükbaþ Hayvan;3318;21799,3;140
Adýyaman;Besni;SIÐIR (YERLÝ);Büyükbaþ Hayvan;525;2874,4;46127
Adýyaman;Çelikhan;SIÐIR (YERLÝ);Büyükbaþ Hayvan;646;3536,9;46283
Adýyaman;Gerger;SIÐIR (YERLÝ);Büyükbaþ Hayvan;2937;16080,1;86,1
Adýyaman;Gölbaþý;SIÐIR (YERLÝ);Büyükbaþ Hayvan;288;1576,8;46120
Adýyaman;Kahta;SIÐIR (YERLÝ);Büyükbaþ Hayvan;2747;15039,8;80,5
Adýyaman;Merkez;SIÐIR (YERLÝ);Büyükbaþ Hayvan;1785;9772,9;52,3
Adýyaman;Samsat;SIÐIR (YERLÝ);Büyükbaþ Hayvan;50;273,8;46143
Adýyaman;Sincik;SIÐIR (YERLÝ);Büyükbaþ Hayvan;3798;20794,1;111,3
Adýyaman;Tut;SIÐIR (YERLÝ);Büyükbaþ Hayvan;83;454,4;46114
Adýyaman;Besni;KEÇÝ (KIL);Küçükbaþ Hayvan;47973;35020,3;56,2
Adýyaman;Çelikhan;KEÇÝ (KIL);Küçükbaþ Hayvan;2300;1679;46205
Adýyaman;Gerger;KEÇÝ (KIL);Küçükbaþ Hayvan;21155;15443,2;46258
Adýyaman;Gölbaþý;KEÇÝ (KIL);Küçükbaþ Hayvan;41341;30178,9;48,5
Adýyaman;Kahta;KEÇÝ (KIL);Küçükbaþ Hayvan;19226;14035;46164
Adýyaman;Merkez;KEÇÝ (KIL);Küçükbaþ Hayvan;34208;24971,8;40,1
Adýyaman;Samsat;KEÇÝ (KIL);Küçükbaþ Hayvan;1245;908,9;46143
Adýyaman;Sincik;KEÇÝ (KIL);Küçükbaþ Hayvan;8171;5964,8;46182
Adýyaman;Tut;KEÇÝ (KIL);Küçükbaþ Hayvan;4338;3166,7;46027
Adýyaman;Gerger;KOYUN (MERÝNOS);Küçükbaþ Hayvan;370;405,2;1
Adýyaman;Gölbaþý;KOYUN (MERÝNOS);Küçükbaþ Hayvan;111;121,5;0,3
Adýyaman;Merkez;KOYUN (MERÝNOS);Küçükbaþ Hayvan;712;779,6;46266
Adýyaman;Samsat;KOYUN (MERÝNOS);Küçükbaþ Hayvan;570;624,2;46143
Adýyaman;Tut;KOYUN (MERÝNOS);Küçükbaþ Hayvan;83;90,9;0,2
Adýyaman;Besni;KOYUN (YERLÝ);Küçükbaþ Hayvan;44145;48338,8;116,5
Adýyaman;Çelikhan;KOYUN (YERLÝ);Küçükbaþ Hayvan;1645;1801,3;46085
Adýyaman;Gerger;KOYUN (YERLÝ);Küçükbaþ Hayvan;3057;3347,4;46030
Adýyaman;Gölbaþý;KOYUN (YERLÝ);Küçükbaþ Hayvan;18355;20098,7;48,4
Adýyaman;Kahta;KOYUN (YERLÝ);Küçükbaþ Hayvan;20486;22432,2;54
Adýyaman;Merkez;KOYUN (YERLÝ);Küçükbaþ Hayvan;62300;68218,5;164,3
Adýyaman;Samsat;KOYUN (YERLÝ);Küçükbaþ Hayvan;4100;4489,5;46244
Adýyaman;Sincik;KOYUN (YERLÝ);Küçükbaþ Hayvan;3590;3931,1;46151
Adýyaman;Tut;KOYUN (YERLÝ);Küçükbaþ Hayvan;4096;4485,1;46244
Adýyaman;Besni;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adýyaman;Çelikhan;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adýyaman;Gerger;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adýyaman;Gölbaþý;ET TAVUÐU;Kanatlý Hayvan;60000;1620;405,1
Adýyaman;Kahta;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adýyaman;Merkez;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adýyaman;Samsat;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adýyaman;Sincik;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adýyaman;Tut;ET TAVUÐU;Kanatlý Hayvan;0;0;0
Adýyaman;Besni;HÝNDÝ;Kanatlý Hayvan;140;46086;46082
Adýyaman;Çelikhan;HÝNDÝ;Kanatlý Hayvan;0;0;0
Adýyaman;Gerger;HÝNDÝ;Kanatlý Hayvan;300;46092;46236
Adýyaman;Gölbaþý;HÝNDÝ;Kanatlý Hayvan;235;46242;46055
Adýyaman;Kahta;HÝNDÝ;Kanatlý Hayvan;600;46164;46178
Adýyaman;Merkez;HÝNDÝ;Kanatlý Hayvan;1540;57,8;46126
Adýyaman;Samsat;HÝNDÝ;Kanatlý Hayvan;1200;45;46092
Adýyaman;Sincik;HÝNDÝ;Kanatlý Hayvan;65;46114;0,6
Adýyaman;Tut;HÝNDÝ;Kanatlý Hayvan;160;6;46143
Adýyaman;Besni;KAZ;Kanatlý Hayvan;50;46083;0,6
Adýyaman;Çelikhan;KAZ;Kanatlý Hayvan;0;0;0
Adýyaman;Gerger;KAZ;Kanatlý Hayvan;150;7;46235
Adýyaman;Gölbaþý;KAZ;Kanatlý Hayvan;77;46176;0,9
Adýyaman;Kahta;KAZ;Kanatlý Hayvan;260;46065;3
Adýyaman;Merkez;KAZ;Kanatlý Hayvan;360;46250;46057
Adýyaman;Samsat;KAZ;Kanatlý Hayvan;6000;280,8;70,2
Adýyaman;Sincik;KAZ;Kanatlý Hayvan;58;46205;0,7
Adýyaman;Tut;KAZ;Kanatlý Hayvan;40;46266;0,5
Adýyaman;Besni;ÖRDEK;Kanatlý Hayvan;52;46114;0,6
