bolgeler;il;ilce;biyometanizasyona_uygun_belediye_atiklarim_miktari_ton_yil;yakmaya_uygun_belediye_atiklari_miktari_ton_yil;biyometanizasyona_uygun_belediye_atiklari_enerji_esdegeri_tep_yil;yakmaya_uygun_belediye_tiklari_enerji_esdegeri_tep_yil;biyometanizasyona_ve_yakmaya_uygun_toplam_enerjiesdegeri_tep_yil
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Eðil;3838,4;4691,3;123,8;797,7;921,5
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Baðlar;63792,6;77968,7;2057,3;13257,1;15314,4
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Kayapýnar;59525,3;72753,2;1919,7;12370,3;14290
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Sur;18446,3;22545,4;594,9;3833,4;4428,3
Güneydoðu Anadolu Bölgesi;Diyarbakýr;Yeniþehir;33965,8;41513,7;1095,4;7058,6;8154
Marmara Bölgesi;Edirne;Enez;1609,2;1966,8;51,9;275,4;327,3
Marmara Bölgesi;Edirne;Merkez;34357,7;41992,7;1108;5880;6988
Marmara Bölgesi;Edirne;Havsa;3610;4412,2;116,4;617,8;734,2
Marmara Bölgesi;Edirne;Ýpsala;5239,2;6403,5;169;896,6;1065,6
Marmara Bölgesi;Edirne;Keþan;16088,7;19664;518,9;2753,5;3272,4
Marmara Bölgesi;Edirne;Lalapaþa;1272,7;1555,6;41;217,8;258,8
Marmara Bölgesi;Edirne;Meriç;2705,7;3307;87,3;463,1;550,4
Marmara Bölgesi;Edirne;Uzunköprü;11714,7;14318;377,8;2004,9;2382,7
Marmara Bölgesi;Edirne;Süleoðlu;1345,5;1644,5;43,4;230,3;273,7
Doðu Anadolu Bölgesi;Elazýð;Aðýn;364,8;445,8;46245;62,4;46307,4
Doðu Anadolu Bölgesi;Elazýð;Baskil;2694,4;3293,1;86,9;461,1;548
Doðu Anadolu Bölgesi;Elazýð;Merkez;55414,8;67729,2;1787,1;9483,8;11270,9
Doðu Anadolu Bölgesi;Elazýð;Keban;1104,9;1350,5;35,6;189,1;224,7
Doðu Anadolu Bölgesi;Elazýð;Karakoçan;3771,4;4609,5;121,6;645,5;767,1
Doðu Anadolu Bölgesi;Elazýð;Maden;2182,3;2667,2;70,4;373,5;443,9
Doðu Anadolu Bölgesi;Elazýð;Palu;3131,8;3827,7;101;536;637
Doðu Anadolu Bölgesi;Elazýð;Alacakaya;862,8;1054,5;46261;147,7;46408,7
Doðu Anadolu Bölgesi;Elazýð;Kovancýlar;5094,9;6227,1;164,3;872;1036,3
Doðu Anadolu Bölgesi;Elazýð;Arýcak;2237,5;2734,7;72,2;382,9;455,1
Doðu Anadolu Bölgesi;Elazýð;Sivrice;1407,3;1720;45,4;240,8;286,2
Doðu Anadolu Bölgesi;Erzincan;Çayýrlý;1186,8;1450,5;38,3;203,1;241,4
Doðu Anadolu Bölgesi;Erzincan;Ýliç;1172,4;1432,9;37,8;200,6;238,4
Doðu Anadolu Bölgesi;Erzincan;Kemah;1073,1;1311,6;34,6;183,7;218,3
Doðu Anadolu Bölgesi;Erzincan;Kemaliye;729,9;892,1;46165;124,9;46289,9
Doðu Anadolu Bölgesi;Erzincan;Refahiye;1636,7;2000,4;52,8;280,1;332,9
Doðu Anadolu Bölgesi;Erzincan;Üzümlü;1890,8;2311;61;323,6;384,6
Doðu Anadolu Bölgesi;Erzincan;Merkez;20689,2;25286,8;667,2;3540,8;4208
Doðu Anadolu Bölgesi;Erzincan;Otlukbeli;320,2;391,4;46091;54,8;46145,8
Doðu Anadolu Bölgesi;Erzincan;Tercan;2315,7;2830,3;74,7;396,3;471
Doðu Anadolu Bölgesi;Erzurum;Aþkale;3874,5;4735,5;125;805,2;930,2
Doðu Anadolu Bölgesi;Erzurum;Çat;2856,1;3490,8;92,1;593,5;685,6
Doðu Anadolu Bölgesi;Erzurum;Ýspir;2611,2;3191,5;84,2;542,7;626,9
Doðu Anadolu Bölgesi;Erzurum;Hýnýs;4412,6;5393,1;142,3;917;1059,3
Doðu Anadolu Bölgesi;Erzurum;Horasan;6478,8;7918,6;208,9;1346,4;1555,3
Doðu Anadolu Bölgesi;Erzurum;Karayazý;4681,5;5721,8;151;972,9;1123,9
Doðu Anadolu Bölgesi;Erzurum;Oltu;5086,2;6216,4;164;1057;1221
Doðu Anadolu Bölgesi;Erzurum;Olur;1102,9;1348;35,6;229,2;264,8
Doðu Anadolu Bölgesi;Erzurum;Narman;2197,8;2686,2;70,9;456,7;527,6
Doðu Anadolu Bölgesi;Erzurum;Pasinler;4756,8;5813,9;153,4;988,5;1141,9
Doðu Anadolu Bölgesi;Erzurum;Köprüköy;2657,2;3247,7;85,7;552,2;637,9
Doðu Anadolu Bölgesi;Erzurum;Aziziye(Ilýca);10231;12504,5;329,9;2126,2;2456,1
Doðu Anadolu Bölgesi;Erzurum;Þenkaya;3002,7;3669,9;96,8;624;720,8
Doðu Anadolu Bölgesi;Erzurum;Pazaryolu;739,3;903,6;46257;153,6;46410,6
Doðu Anadolu Bölgesi;Erzurum;Uzundere;1436,2;1755,4;46,3;298,5;344,8
Doðu Anadolu Bölgesi;Erzurum;Tekman;4265,4;5213,3;137,6;886,4;1024
Doðu Anadolu Bölgesi;Erzurum;Karaçoban;3818,2;4666,6;123,1;793,5;916,6
Doðu Anadolu Bölgesi;Erzurum;Palandöken;27700,9;33856,7;893,4;5756,7;6650,1
Doðu Anadolu Bölgesi;Erzurum;Yakutiye;31408,5;38388,2;1012,9;6527,2;7540,1
Doðu Anadolu Bölgesi;Erzurum;Tortum;2801,1;3423,6;90,3;582,1;672,4
Ýç Anadolu Bölgesi;Eskiþehir;Çifteler;2331,1;2849,1;75,2;484,4;559,6
Ýç Anadolu Bölgesi;Eskiþehir;Mahmudiye;1234,9;1509,3;39,8;256,6;296,4
Ýç Anadolu Bölgesi;Eskiþehir;Mihalýçcýk;1316,4;1608,9;42,5;273,6;316,1
Ýç Anadolu Bölgesi;Eskiþehir;Sarýcakaya;784,3;958,6;46106;163;46269
Ýç Anadolu Bölgesi;Eskiþehir;Sivrihisar;3203,1;3914,9;103,3;665,6;768,9
Ýç Anadolu Bölgesi;Eskiþehir;Beylikova;1073,5;1312,1;34,6;223,1;257,7
Ýç Anadolu Bölgesi;Eskiþehir;Günyüzü;946;1156,2;46172;196,6;46368,6
Ýç Anadolu Bölgesi;Eskiþehir;Ýnönü;1049,4;1282,6;33,8;218,1;251,9
Ýç Anadolu Bölgesi;Eskiþehir;Han;350,8;428,7;46092;72,9;46164,9
Ýç Anadolu Bölgesi;Eskiþehir;Seyitgazi;2069,7;2529,6;66,7;430,1;496,8
Ýç Anadolu Bölgesi;Eskiþehir;Alpu;1735,7;2121,4;56;360,7;416,7
Ýç Anadolu Bölgesi;Eskiþehir;Mihalgazi;520,8;636,5;46250;108,2;46358,2
Ýç Anadolu Bölgesi;Eskiþehir;Odunpazarý;62416,8;76287,2;2012,9;12971,2;14984,1
Ýç Anadolu Bölgesi;Eskiþehir;Tepebaþý;55474,6;67802,3;1789,1;11528,5;13317,6
Güneydoðu Anadolu Bölgesi;Gaziantep;Araban;5071,3;6198,2;163,5;1053,9;1217,4
Güneydoðu Anadolu Bölgesi;Gaziantep;Ýslahiye;10448,5;12770,4;337;2171,4;2508,4
Güneydoðu Anadolu Bölgesi;Gaziantep;Nizip;21984,1;26869,5;709;4568,6;5277,6
Güneydoðu Anadolu Bölgesi;Gaziantep;Oðuzeli;5041,5;6161,8;162,6;1047,7;1210,3
Güneydoðu Anadolu Bölgesi;Gaziantep;Þahinbey;139888,5;170974,8;4511,4;29071;33582,4
Güneydoðu Anadolu Bölgesi;Gaziantep;Yavuzeli;3426,3;4187,7;110,5;712;822,5
Güneydoðu Anadolu Bölgesi;Gaziantep;Þehitkamil;119529,4;146091,4;3854,8;24840;28694,8
Güneydoðu Anadolu Bölgesi;Gaziantep;Nurdaðý;6199,1;7576,7;199,9;1288,3;1488,2
Güneydoðu Anadolu Bölgesi;Gaziantep;Kargamýþ;1611,3;1969,3;52;334,8;386,8
Karadeniz Bölgesi;Giresun;Bulancak;9865,2;12057,5;318,2;1688,4;2006,6
Karadeniz Bölgesi;Giresun;Espiye;5113,6;6249,9;164,9;875,1;1040
Karadeniz Bölgesi;Giresun;Eynesil;2062,9;2521,3;66,5;353;419,5
Karadeniz Bölgesi;Giresun;Dereli;3016,4;3686,7;97,3;516,2;613,5
Karadeniz Bölgesi;Giresun;Merkez;20092,4;24557,3;648;3438,6;4086,6
Karadeniz Bölgesi;Giresun;Görele;4953,6;6054,4;159,8;847,8;1007,6
Karadeniz Bölgesi;Giresun;Keþap;3047,6;3724,8;98,3;521,6;619,9
Karadeniz Bölgesi;Giresun;Alucra;1810,9;2213,3;58,4;309,9;368,3
Karadeniz Bölgesi;Giresun;Doðankent;988,9;1208,7;31,9;169,3;201,2
Karadeniz Bölgesi;Giresun;Yaðlýdere;2477,3;3027,8;79,9;424;503,9
Karadeniz Bölgesi;Giresun;Þ.Karahisar;3224,7;3941,2;104;551,9;655,9
Karadeniz Bölgesi;Giresun;Çanakçý;950,7;1161,9;46233;162,7;46395,7
Karadeniz Bölgesi;Giresun;Güce;1154,4;1410,9;37,2;197,6;234,8
Karadeniz Bölgesi;Giresun;Piraziz;2167;2648,5;69,9;370,9;440,8
Karadeniz Bölgesi;Giresun;Tirebolu;4731,6;5783;152,6;809,8;962,4
Karadeniz Bölgesi;Giresun;Çamoluk;1442,6;1763,2;46,5;246,9;293,4
Karadeniz Bölgesi;Gümüþhane;Merkez;8465,8;10347,1;273;1448,9;1721,9
Karadeniz Bölgesi;Gümüþhane;Kelkit;7079,5;8652,7;228,3;1211,6;1439,9
Karadeniz Bölgesi;Gümüþhane;Torul;2035,7;2488,1;65,7;348,4;414,1
Karadeniz Bölgesi;Gümüþhane;Þiran;2968,9;3628,7;95,7;508,1;603,8
Karadeniz Bölgesi;Gümüþhane;Kürtün;2120,7;2592;68,4;362,9;431,3
Karadeniz Bölgesi;Gümüþhane;Köse;1387,6;1696;44,8;237,5;282,3
Doðu Anadolu Bölgesi;Hakkari;Çukurca;2262,2;2764,9;73;387,2;460,2
Doðu Anadolu Bölgesi;Hakkari;Merkez;10699,1;13076,7;345;1831,1;2176,1
Doðu Anadolu Bölgesi;Hakkari;Þemdinli;5928,4;7245,8;191,2;1014,6;1205,8
Doðu Anadolu Bölgesi;Hakkari;Yüksekova;15736,5;19233,5;507,5;2693,2;3200,7
Doðu Anadolu Bölgesi;Hakkari;Derecik;0;0;0;0;0
Akdeniz Bölgesi;Hatay;Altýnözü;9033;11040,3;291,3;1877,2;2168,5
Akdeniz Bölgesi;Hatay;Dörtyol;18314,2;22384;590,6;3806;4396,6
Akdeniz Bölgesi;Hatay;Ýskenderun;36710,1;44867,9;1183,9;7628,9;8812,8
Akdeniz Bölgesi;Hatay;Hassa;8338,7;10191,7;268,9;1732,9;2001,8
Akdeniz Bölgesi;Hatay;Kýrýkhan;17028,8;20813;549,2;3538,9;4088,1
Akdeniz Bölgesi;Hatay;Reyhanlý;14565,8;17802,6;469,7;3027;3496,7
Akdeniz Bölgesi;Hatay;Samandað;17902,9;21881,4;577,4;3720,5;4297,9
Akdeniz Bölgesi;Hatay;Erzin;6115,2;7474,2;197,2;1270,8;1468
Akdeniz Bölgesi;Hatay;Yayladaðý;5241,9;6406,7;169,1;1089,3;1258,4
Akdeniz Bölgesi;Hatay;Belen;4958,1;6059,8;159,9;1030,4;1190,3
Akdeniz Bölgesi;Hatay;Kumlu;2104;2571,5;67,9;437,2;505,1
Akdeniz Bölgesi;Hatay;Antakya;55847,3;68257,8;1801,1;11605,9;13407
Akdeniz Bölgesi;Hatay;Arsuz;13371,7;16343,1;431,2;2778,8;3210
Akdeniz Bölgesi;Hatay;Defne;22324,1;27285;720;4639,3;5359,3
Akdeniz Bölgesi;Hatay;Payas;6121,3;7481,6;197,4;1272,1;1469,5
Akdeniz Bölgesi;Isparta;Atabey;809,6;989,6;46048;138,6;46186,6
Akdeniz Bölgesi;Isparta;Eðirdir;4794,9;5860,4;154,6;820,6;975,2
Akdeniz Bölgesi;Isparta;Gelendost;2278,6;2784,9;73,5;390;463,5
Akdeniz Bölgesi;Isparta;Keçiborlu;2126,2;2598,6;68,6;363,9;432,5
Akdeniz Bölgesi;Isparta;Merkez;38194,3;46681,9;1231,8;6536,6;7768,4
Akdeniz Bölgesi;Isparta;Yalvaç;6895,4;8427,8;222,4;1180,1;1402,5
Akdeniz Bölgesi;Isparta;Sütçüler;1582,8;1934,5;51;270,9;321,9
Akdeniz Bölgesi;Isparta;Uluborlu;944,3;1154,2;46172;161,6;46333,6
Akdeniz Bölgesi;Isparta;Þarkikaraaðaç;3781,1;4621,3;121,9;647,1;769
Akdeniz Bölgesi;Isparta;Gönen;1088,6;1330,5;35,1;186,3;221,4
Akdeniz Bölgesi;Isparta;Senirkent;1746;2134;56,3;298,8;355,1
Akdeniz Bölgesi;Isparta;Yeniþarbademli;340;415,6;11;58,2;69,2
Akdeniz Bölgesi;Isparta;Aksu;670,1;819;46194;114,7;46308,7
Akdeniz Bölgesi;Mersin;Anamur;10827,4;13233,4;349,2;2250,1;2599,3
Akdeniz Bölgesi;Mersin;Erdemli;23049,4;28171,4;743,3;4790;5533,3
Akdeniz Bölgesi;Mersin;Gülnar;4248,3;5192,4;137;882,9;1019,9
Akdeniz Bölgesi;Mersin;Mut;10323,6;12617,7;332,9;2145,4;2478,3
Akdeniz Bölgesi;Mersin;Bozyazý;4408,5;5388,1;142,2;916,1;1058,3
Akdeniz Bölgesi;Mersin;Akdeniz;43463,5;53122,1;1401,7;9032,4;10434,1
Akdeniz Bölgesi;Mersin;Mezitli;31867,6;38949,3;1027,7;6622,6;7650,3
Akdeniz Bölgesi;Mersin;Toroslar;48713,6;59538,8;1571;10123,4;11694,4
Akdeniz Bölgesi;Mersin;Yeniþehir;42490,5;51932,8;1370,3;8830,2;10200,5
Akdeniz Bölgesi;Mersin;Aydýncýk;1821,2;2225,9;58,7;378,5;437,2
Akdeniz Bölgesi;Mersin;Çamlýyayla;1425,5;1742,3;46;296,2;342,2
Akdeniz Bölgesi;Mersin;Silifke;19595,5;23950,1;632;4072,2;4704,2
Akdeniz Bölgesi;Mersin;Tarsus;55791,8;68190;1799,3;11594,4;13393,7
Marmara Bölgesi;Ýstanbul;Adalar;3388,9;4141,9;109,3;704,3;813,6
Marmara Bölgesi;Ýstanbul;Beyoðlu;48465,8;59236;1563;10071,9;11634,9
Marmara Bölgesi;Ýstanbul;Bakýrköy;46813,7;57216,8;1509,7;9728,6;11238,3
Marmara Bölgesi;Ýstanbul;Beþiktaþ;38069;46528,8;1227,7;7911,3;9139
Marmara Bölgesi;Ýstanbul;Beykoz;51866,2;63392;1672,7;10778,6;12451,3
Marmara Bölgesi;Ýstanbul;Çatalca;15340,4;18749,3;494,7;3188;3682,7
Marmara Bölgesi;Ýstanbul;Eyüp;80713;98649,3;2603;16773,4;19376,4
Marmara Bölgesi;Ýstanbul;Fatih;91778;112173,1;2959,8;19072,9;22032,7
Marmara Bölgesi;Ýstanbul;Gaziosmanpaþa;102396,6;125151,3;3302,3;21279,6;24581,9
Marmara Bölgesi;Ýstanbul;Kadýköy;96424,1;117851,6;3109,7;20038,4;23148,1
Marmara Bölgesi;Ýstanbul;Kartal;96953,2;118498,4;3126,7;20148,4;23275,1
Marmara Bölgesi;Ýstanbul;Sarýyer;72007,8;88009,6;2322,3;14964,3;17286,6
Marmara Bölgesi;Ýstanbul;Bahçelievler;124893,7;152647,9;4027,8;25954,8;29982,6
Marmara Bölgesi;Ýstanbul;Maltepe;104496,4;127717,9;3370;21715,9;25085,9
Marmara Bölgesi;Ýstanbul;Sultanbeyli;68916,3;84231;2222,5;14321,8;16544,3
Marmara Bölgesi;Ýstanbul;Tuzla;53709,6;65645,1;1732,1;11161,7;12893,8
Marmara Bölgesi;Ýstanbul;Esenler;93464,5;114234,4;3014,2;19423,3;22437,5
Marmara Bölgesi;Ýstanbul;Þile;7677,1;9383,2;247,6;1595,4;1843
Marmara Bölgesi;Ýstanbul;Büyükçekmece;52084;63658,2;1679,7;10823,8;12503,5
Marmara Bölgesi;Ýstanbul;Ümraniye;145106,2;177352;4679,7;30155,3;34835
Marmara Bölgesi;Ýstanbul;Güngören;60828,9;74346,5;1961,7;12641,2;14602,9
Marmara Bölgesi;Ýstanbul;Üsküdar;111247,4;135969,1;3587,7;23118,9;26706,6
Marmara Bölgesi;Ýstanbul;Çekmeköy;52967,2;64737,7;1708,2;11007,4;12715,6
Marmara Bölgesi;Ýstanbul;Esenyurt;187349,1;228982,2;6042;38934;44976
Marmara Bölgesi;Ýstanbul;Sancaktepe;87069,4;106418,2;2808;18094,3;20902,3
Marmara Bölgesi;Ýstanbul;Sultangazi;110116,4;134586,7;3551,3;22883,8;26435,1
Marmara Bölgesi;Ýstanbul;Bayrampaþa;56990,4;69654,9;1837,9;11843,5;13681,4
Marmara Bölgesi;Ýstanbul;Pendik;145822,3;178227,2;4702,8;30304,1;35006,9
Marmara Bölgesi;Ýstanbul;Kaðýthane;91880,3;112298,2;2963,1;19094,1;22057,2
Marmara Bölgesi;Ýstanbul;Avcýlar;91585,8;111938,2;2953,6;19032,9;21986,5
Marmara Bölgesi;Ýstanbul;Baðcýlar;154393,7;188703,5;4979,2;32085,4;37064,6
Marmara Bölgesi;Ýstanbul;Zeytinburnu;59904,7;73216,9;1931,9;12449,1;14381
Marmara Bölgesi;Ýstanbul;Þiþli;57666,5;70481,3;1859,7;11984;13843,7
Marmara Bölgesi;Ýstanbul;Küçükçekmece;161951,4;197940,7;5222,9;33656;38878,9
Marmara Bölgesi;Ýstanbul;Silivri;39445,4;48211,1;1272,1;8197,4;9469,5
Marmara Bölgesi;Ýstanbul;Arnavutköy;56880,2;69520,3;1834,4;11820,6;13655
Marmara Bölgesi;Ýstanbul;Ataþehir;87526,7;106977,1;2822,7;18189,4;21012,1
Marmara Bölgesi;Ýstanbul;Baþakþehir;89948;109936,5;2900,8;18692,6;21593,4
Marmara Bölgesi;Ýstanbul;Beylikdüzü;69699,8;85188,7;2247,8;14484,7;16732,5
Ege Bölgesi;Ýzmir;Aliaða;20055,2;24511,9;646,8;4167,8;4814,6
Ege Bölgesi;Ýzmir;Bayýndýr;8532,4;10428,5;275,2;1773,2;2048,4
Ege Bölgesi;Ýzmir;Bergama;21693,6;26514,4;699,6;4508,3;5207,9
Ege Bölgesi;Ýzmir;Çeþme;9143,1;11174,9;294,9;1900,1;2195
Ege Bölgesi;Ýzmir;Bornova;93605,6;114406,8;3018,8;19452,7;22471,5
Ege Bölgesi;Ýzmir;Dikili;9286,7;11350,4;299,5;1929,9;2229,4
Ege Bölgesi;Ýzmir;Foça;6965,5;8513,3;224,6;1447,5;1672,1
Ege Bölgesi;Ýzmir;Kiraz;9248,2;11303,4;298,3;1921,9;2220,2
Ege Bölgesi;Ýzmir;Karþýyaka;72352;88430,2;2333,4;15035,8;17369,2
Ege Bölgesi;Ýzmir;Karaburun;2229,2;2724,5;71,9;463,3;535,2
Ege Bölgesi;Ýzmir;Kemalpaþa;22348,1;27314,3;720,7;4644,3;5365
Ege Bölgesi;Ýzmir;Kýnýk;6265,8;7658,2;202,1;1302,1;1504,2
Ege Bölgesi;Ýzmir;Menemen;36700,3;44856;1183,6;7626,9;8810,5
Ege Bölgesi;Ýzmir;Balçova;16684;20391,6;538,1;3467,2;4005,3
Ege Bölgesi;Ýzmir;Çiðli;40896,9;49985,1;1318,9;8499;9817,9
Ege Bölgesi;Ýzmir;Gaziemir;28919,1;35345,6;932,6;6009,8;6942,4
Ege Bölgesi;Ýzmir;Narlýdere;13918,5;17011,5;448,9;2892,5;3341,4
Ege Bölgesi;Ýzmir;Güzelbahçe;6852,1;8374,8;221;1424;1645
Ege Bölgesi;Ýzmir;Ödemiþ;27859,1;34050;898,5;5789,5;6688
Ege Bölgesi;Ýzmir;Urla;13951,5;17051,9;449,9;2899,3;3349,2
Ege Bölgesi;Ýzmir;Beydað;2629,5;3213,8;84,8;546,4;631,2
Ege Bölgesi;Ýzmir;Buca;104978,1;128306,6;3385,5;21816;25201,5
Ege Bölgesi;Ýzmir;Seferihisar;9155,1;11189,6;295,3;1902,6;2197,9
Ege Bölgesi;Ýzmir;Selçuk;7644,3;9343,1;246,5;1588,6;1835,1
Ege Bölgesi;Ýzmir;Bayraklý;65494,8;80049,2;2112,2;13610,8;15723
Ege Bölgesi;Ýzmir;Karabaðlar;100912,3;123337,2;3254,4;20971,1;24225,5
Ege Bölgesi;Ýzmir;Tire;17756,2;21702,1;572,6;3690;4262,6
Ege Bölgesi;Ýzmir;Torbalý;37585;45937,3;1212,1;7810,7;9022,8
Ege Bölgesi;Ýzmir;Konak;74963,8;91622,4;2417,6;15578,6;17996,2
Ege Bölgesi;Ýzmir;Menderes;19719,7;24101,8;636;4098;4734
Doðu Anadolu Bölgesi;Kars;Arpaçay;2282,8;2790,1;73,6;390,7;464,3
Doðu Anadolu Bölgesi;Kars;Digor;2927,9;3578,5;94,4;501,1;595,5
Doðu Anadolu Bölgesi;Kars;Kaðýzman;6036;7377,3;194,7;1033;1227,7
Doðu Anadolu Bölgesi;Kars;Merkez;15228,1;18612,1;491,1;2606,2;3097,3
Doðu Anadolu Bölgesi;Kars;Sarýkamýþ;5608,5;6854,9;180,9;959,9;1140,8
Doðu Anadolu Bölgesi;Kars;Susuz;1379,3;1685,8;44,5;236,1;280,6
Doðu Anadolu Bölgesi;Kars;Selim;3052,6;3730,9;98,4;522,4;620,8
Doðu Anadolu Bölgesi;Kars;Akyaka;1443,4;1764,2;46,6;247;293,6
Karadeniz Bölgesi;Kastamonu;Abana;628;767,5;46101;107,5;46208,5
Karadeniz Bölgesi;Kastamonu;Azdavay;1142,1;1395,9;36,8;195,5;232,3
Karadeniz Bölgesi;Kastamonu;Cide;3448,6;4215;111,2;590,2;701,4
Karadeniz Bölgesi;Kastamonu;Daday;1293,3;1580,7;41,7;221,3;263
Karadeniz Bölgesi;Kastamonu;Bozkurt;1466,4;1792,3;47,3;251;298,3
Karadeniz Bölgesi;Kastamonu;Devrekani;1993;2435,9;64,3;341,1;405,4
Karadeniz Bölgesi;Kastamonu;Ýnebolu;3213,4;3927,5;103,6;550;653,6
Karadeniz Bölgesi;Kastamonu;Merkez;22015,7;26908,1;710;3767,8;4477,8
Karadeniz Bölgesi;Kastamonu;Küre;904,5;1105,6;29,2;154,8;184
Karadeniz Bölgesi;Kastamonu;Doðanyurt;909,6;1111,7;46110;155,7;46265,7
Karadeniz Bölgesi;Kastamonu;Çatalzeytin;1039,9;1271;33,5;178;211,5
Karadeniz Bölgesi;Kastamonu;Araç;2788,4;3408,1;89,9;477,2;567,1
Karadeniz Bölgesi;Kastamonu;Þenpazar;739,4;903,7;46257;126,5;46383,5
Karadeniz Bölgesi;Kastamonu;Tosya;5949,2;7271,3;191,9;1018,2;1210,1
Karadeniz Bölgesi;Kastamonu;Ýhsangazi;808,5;988,1;46048;138,4;46186,4
Karadeniz Bölgesi;Kastamonu;Pýnarbaþý;889,9;1087,7;46231;152,3;46383,3
Karadeniz Bölgesi;Kastamonu;Hanönü;614,4;750,9;46253;105,1;46358,1
Karadeniz Bölgesi;Kastamonu;Aðlý;472,4;577,4;46068;80,9;46148,9
Karadeniz Bölgesi;Kastamonu;Seydiler;612,4;748,5;46253;104,8;46357,8
Karadeniz Bölgesi;Kastamonu;Taþköprü;5742,9;7019;185,2;982,8;1168
Ýç Anadolu Bölgesi;Kayseri;Bünyan;4863;5943,6;156,8;1010,6;1167,4
Ýç Anadolu Bölgesi;Kayseri;Develi;10085,4;12326,6;325,3;2095,9;2421,2
Ýç Anadolu Bölgesi;Kayseri;Felahiye;1019,3;1245,8;32,9;211,8;244,7
Ýç Anadolu Bölgesi;Kayseri;Ýncesu;4068,8;4972,9;131,2;845,6;976,8
Ýç Anadolu Bölgesi;Kayseri;Sarýz;1559,1;1905,5;50,3;324;374,3
Ýç Anadolu Bölgesi;Kayseri;Sarýoðlan;2615,1;3196,3;84,3;543,5;627,8
Ýç Anadolu Bölgesi;Kayseri;Yeþilhisar;2705,8;3307,1;87,3;562,3;649,6
Ýç Anadolu Bölgesi;Kayseri;Pýnarbaþý;4154,9;5078,2;134;863,5;997,5
Ýç Anadolu Bölgesi;Kayseri;Yahyalý;5609,3;6855,8;180,9;1165,7;1346,6
Ýç Anadolu Bölgesi;Kayseri;Talas;24347,3;29757,8;785,2;5059,7;5844,9
Ýç Anadolu Bölgesi;Kayseri;Kocasinan;60470,5;73908,4;1950,2;12566,7;14516,9
Ýç Anadolu Bölgesi;Kayseri;Melikgazi;85792,8;104857,9;2766,8;17829,1;20595,9
Ýç Anadolu Bölgesi;Kayseri;Özvatan;835,7;1021,5;27;173,7;200,7
Ýç Anadolu Bölgesi;Kayseri;Akkýþla;992,6;1213,2;32;206,3;238,3
Ýç Anadolu Bölgesi;Kayseri;Hacýlar;1918,5;2344,8;61,9;398,7;460,6
Ýç Anadolu Bölgesi;Kayseri;Tomarza;3521,4;4304;113,6;731,8;845,4
Ýç Anadolu Bölgesi;Kýrklareli;Babaeski;9219,9;11268,8;297,3;1577,9;1875,2
Ýç Anadolu Bölgesi;Kýrklareli;Demirköy;1732,5;2117,5;55,9;296,5;352,4
Ýç Anadolu Bölgesi;Kýrklareli;Kofçaz;451,2;551,4;46187;77,2;46264,2
Ýç Anadolu Bölgesi;Kýrklareli;Lüleburgaz;28205,5;34473,4;909,6;4827,1;5736,7
Ýç Anadolu Bölgesi;Kýrklareli;Merkez;19607,3;23964,4;632,3;3355,6;3987,9
Ýç Anadolu Bölgesi;Kýrklareli;Pehlivanköy;679,2;830,2;46286;116,2;46402,2
Ýç Anadolu Bölgesi;Kýrklareli;Pýnarhisar;3501;4279;112,9;599,2;712,1
Ýç Anadolu Bölgesi;Kýrklareli;Vize;5358,1;6548,8;172,8;917;1089,8
Ýç Anadolu Bölgesi;Kýrþehir;Çiçekdaðý;2178,2;2662,2;70,2;372,8;443
Ýç Anadolu Bölgesi;Kýrþehir;Kaman;5502,5;6725,3;177,5;941,7;1119,2
Ýç Anadolu Bölgesi;Kýrþehir;Merkez;22692,8;27735,6;731,8;3883,7;4615,5
Ýç Anadolu Bölgesi;Kýrþehir;Mucur;2773,6;3390;89,4;474,7;564,1
Ýç Anadolu Bölgesi;Kýrþehir;Akçakent;625,2;764,1;46073;107;46180
Ýç Anadolu Bölgesi;Kýrþehir;Akpýnar;1156,9;1414;37,3;198;235,3
Ýç Anadolu Bölgesi;Kýrþehir;Boztepe;825;1008,3;46199;141,2;46340,2
Marmara Bölgesi;Kocaeli;Gölcük;33113,5;40472;1067,9;6881,5;7949,4
Marmara Bölgesi;Kocaeli;Gebze;75561,6;92353;2436,9;15702,8;18139,7
Marmara Bölgesi;Kocaeli;Kandýra;10458;12782,1;337,3;2173,3;2510,6
Marmara Bölgesi;Kocaeli;Karamürsel;11528,5;14090,4;371,8;2395,8;2767,6
Marmara Bölgesi;Kocaeli;Derince;28713,8;35094,6;926;5967,2;6893,2
Marmara Bölgesi;Kocaeli;Baþiskele;19922,4;24349,6;642,5;4140,2;4782,7
Marmara Bölgesi;Kocaeli;Çayýrova;26406,8;32275;851,6;5487,7;6339,3
Marmara Bölgesi;Kocaeli;Darýca;41033;50151,4;1323,3;8527,3;9850,6
Marmara Bölgesi;Kocaeli;Dilovasý;9765,6;11935,7;314,9;2029,4;2344,3
Marmara Bölgesi;Kocaeli;Ýzmit;74016,9;90465,1;2387;15381,8;17768,8
Marmara Bölgesi;Kocaeli;Kartepe;24046,5;29390,2;775,5;4997,2;5772,7
